Corrida,seed,best_binary_vector,precision_full,recall_full,f1_full,precision_doa,recall_doa,f1_doa,num_features_doa,rd_doa,best_fitness_final,tiempo_ejecucion
0,0,00000001110000000000001000000000000000000000000010100000000100000000001000000010100101000000000000000000010000000010000000000100000000000000000000000011000100000000000000100000000000101100110000000100000000000000000000000000010111000001010011000000000000100001111000100010000000010100100000000010001000000000100000000000000000000010010000100000000000000000100000110000000000000101000000000110000000000000001000000000000001000000000000000001000110000011000000000000010001001001010000000000000001010000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6256410256410256,0.7146464646464646,0.6596736596736597,70,0.86,0.2700703296703296,159.14493536949158
1,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000001000000000000000000000000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.782051282051282,0.7777777777777778,0.7837150127226463,4,0.992,0.10751868131868134,133.71651315689087
2,2,10000110000000000000010000000010000010001000001000001000100010001100000000000000000110010001000110000000011000000001000000000000000000001000000000000000100000100000010101000001100000000000000010000000000100000010000000000000000000000010010000000000001000001000010000000000000000100000010000010000000000001000000000010100010001000010000100000100100000100101001000001000010000000110000100010100000010000000000001000000000000000000000000000010000100000000000000000000000000001001000000000000000000000000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5769230769230769,0.6262626262626263,0.6004842615012107,67,0.866,0.2802153846153846,155.82051277160645
3,3,10000001000000000001101001000111100000000000110010000000000000000000000000000000010010000000000101000000010000000010001000000010100101000101000000000100000000100000000000000100000000010000000001000000000100000000001000001010000011000000100001100000000000000010001010000000000001000010000000000000100000000100010000000000000000001000000010000000000100000000000100000000011001000010001010000000001001000001000001000000000000000000000001000000110000000001001000000100000000101001000010010001110000000000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6358974358974359,0.7222222222222222,0.6682242990654206,76,0.848,0.23792747252747254,146.04215598106384
4,4,00000000001100000010000000101000100000000000000000000000000100000000000000010001000100000001000000000101110100000000010000000001000100100000000001000000001101000001000101000100000000000000010000000001000000000000010000000000001000100000000000000000000101100000000000000000000000001000000000000000001010000000000000000000100000000001000010100001000100000000001000110000000000100000000100000001000001000001000000000000010000100001000000000000000000000000010000000000000000001001000000000000000000000100,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5974358974358974,0.6287878787878788,0.6133004926108374,60,0.88,0.2670703296703297,147.0948450565338
5,5,00100000100000000000000010001000000100000000100000000100000000000101000000010100000000000000000100100000010100000100001000010000000000011000000000100100110000100100000010000000000000011000010001000000000000001000100000000000010000000000000001000000000000001000000000100000000000000000000010010000001000000100000100000011100000010010000010000100000000001100010000000010000000100010100000000000000001000100000000100010011000010000001011010000001000000001100101000000000001000001100100000010110011001000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.65,0.6388888888888888,0.6495507060333762,82,0.836,0.2265648351648351,149.9781277179718
6,6,00000000000000000100010000001000000001000010000000000001000000000000000000100000000010000000000000001000010100001000000000000011100000000001000000000000010000000000000000100000001000100001000010001000000100000000000000000000000000000000000011000000100000000000000000000000001000000101010000000000001000000000000000000000000000110000000010000010000000000100000000000000001000000110000000000000100100010010000000001000101000000000000000001011100100000000000000000010000000101001010000000010000000000000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6410256410256411,0.6590909090909091,0.6508728179551122,58,0.884,0.25143516483516487,146.4595332145691
7,7,00000101000010000000000100000000000000000000000001100100000000001000000000000100000000000000100001000100001001000000000000010000001000001000000000100011001001000000100000000000000000000000000000000100101000000000000001000000000100000000000001010010000000000010000000000010000010000010001000110010000000000000000010000000100000110000000000100000100001000000101001000110000001111000000000100000010000000000000000000000000000000000001000000000000000000001110000000000000010001001000000001000100000101000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5871794871794872,0.6085858585858586,0.599502487562189,68,0.864,0.2773604395604395,158.1431155204773
8,8,00100000000010000010001000000001000000000000000110000000000000010000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000100000000000000100000000001000000100000000000000000010000000000000000010000000000000000000100000000000000000000000000000000000000010000000000000010000000000100000000000000000000000000000000010001000000000000100000000000000001001000000000000000001000000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.7038461538461539,0.6843434343434344,0.7011642949547219,28,0.944,0.18649450549450547,140.06315112113953
9,9,10100000000001000010101000001000100000010010000010000101100100101000000001000001010100001001000001000100000010100000000000010000101100000000101010100000010000000101000000000000100000001000001001001010001000000001100000000000000000100100110101001100001000000001010001100010100000000000001000000000000000000000001010000010000000110100000110110100010000000001010000000110000000100010111000110010010000010000000001010001100011100000000000101011000110100001011000000000100000011011111000000001000001100000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6269230769230769,0.6717171717171717,0.6464155528554071,117,0.766,0.2131846153846154,171.6389138698578
