,count,mean,std,min,25%,50%,75%,max
seed,30.0,14.5,8.803408430829505,0.0,7.25,14.5,21.75,29.0
precision_full,30.0,0.5371794871794874,2.2584051416334807e-16,0.5371794871794872,0.5371794871794872,0.5371794871794872,0.5371794871794872,0.5371794871794872
recall_full,30.0,0.6717171717171719,2.2584051416334807e-16,0.6717171717171717,0.6717171717171717,0.6717171717171717,0.6717171717171717,0.6717171717171717
f1_full,30.0,0.5957446808510637,1.1292025708167404e-16,0.5957446808510638,0.5957446808510638,0.5957446808510638,0.5957446808510638,0.5957446808510638
precision_doa,30.0,0.6355555555555557,0.06969661305171487,0.5358974358974359,0.5884615384615385,0.6269230769230769,0.6576923076923077,0.85
recall_doa,30.0,0.6700336700336699,0.06937382284538267,0.51010101010101,0.6306818181818181,0.6654040404040404,0.702020202020202,0.8535353535353535
f1_doa,30.0,0.65132843953031,0.06600548474151018,0.5274151436031331,0.602905569007264,0.6502117619942442,0.6670641780562909,0.8524590163934426
num_features_doa,30.0,63.1,36.42976236824633,4.0,40.25,61.5,80.5,148.0
rd_doa,30.0,0.8737999999999999,0.07285952473649265,0.704,0.839,0.877,0.9195,0.992
best_fitness_final,30.0,0.2380733333333333,0.052171827683374646,0.09515604395604393,0.2135752747252747,0.24666263736263738,0.2763741758241758,0.30612307692307694
tiempo_ejecucion,30.0,143.98750307559968,14.561915673154836,116.52125811576843,134.44209378957748,144.59878408908844,150.70139944553375,178.2005319595337
