Corrida,seed,best_binary_vector,precision_full,recall_full,f1_full,precision_gwo,recall_gwo,f1_gwo,num_features_gwo,rd_gwo,best_fitness_final,tiempo_ejecucion
0,0,00011110011000011000000100010000000100010001011010101000000100001100010100011100001001011001100000001101110110010001011000100110100000000000000000100101010110100000000101001000000110000100001000000101001101010000000000111010000101000100000001001000000001010101001100110000000000010001100001101110101000001100001100010010010100001000001001100100001000000010001100000011001010000010000000001001011000010010101000000001011000001010000101001001000010001000010000010001001100001110000000000000001000001010,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5807692307692308,0.5202020202020202,0.557510148849797,146,0.708,0.2893428571428571,152.36450290679932
1,1,00010000010101100000000100001001001000000000001110101000010011001010010110000000111001111011000010000010001100001000000011001001100000100000010100001001110000010000000011101000010000000100010000110000000010010001001100001001000100111101100001010101011000010100000111010001100100000110000001010011010100000001000000000011000000110100111010100000000101101010000101011000110000000010110010011001100011101000010010010001000000000111000001010001001000010111100001011000000000111001000000001010010000010011,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6282051282051282,0.6868686868686869,0.6522781774580336,158,0.6839999999999999,0.2788527472527473,161.6666066646576
2,2,00000000111000100000100011100000000000100000110011101000000000100101000000000100000011000000001100001010000110110110001001000000100000100000000000110000011000000000001000111000000010000000101100000000000000001010010000000100100101000000001001100010000000101001001000110101000000101000010001010000100010000101010000000110000000001110100000100100001100000010000000001001001000000010000010010110000000000000000011000000001000000100100001001000100100100101110010110100000100000101000000000000110000000000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6051282051282051,0.6540404040404041,0.6271186440677966,118,0.764,0.2813978021978022,142.9195592403412
3,3,11100100101101010011000111011000110110010110000010110001010110001000010000000000000011100001000001011101100010100010010001011100100000001001000000001010001111000000010110000010001000100000011001111101001001100000001001000100000000010000010001100010001100110011000100010001001011000110110100000011000110010011100000100010010001100010100000001000000011001010001000000010010000001010000100100110000101001000100010010000000010011100000111010010000100100001110000001010001001000100010011001000000000001011,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5679487179487179,0.5075757575757576,0.543978349120433,162,0.6759999999999999,0.28719780219780217,150.86200499534607
4,4,00100000001100010110000000000100100110010001000010011010110000000000000010000010000010000101000100000001010000000110010011101100000000000010100010000000011010000000100000100001000100110000010000001010110000000110100001000000001100011110010101000000010110000000000000001000011001000000001001001001110000010001100000010010000101000001001000001001001010000000000110100100010000010000000011000000010000000000110000010100101000001000011111100010011011010000101000000001000010101011000000000001010000011000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6115384615384616,0.5606060606060606,0.5943775100401606,130,0.74,0.300778021978022,149.55765438079834
5,5,00000000001010000000001111000000010100001000000110000000000000010000000001000010000000000110010001100101111100010011000100000100000100010010110000100000010100000011101000100000100000001000110000000000000011000110010000000110010010001001000000000000000100001000001010101001011010010000100000110010001000010000000100000100001000010000110000100100100001000000011001000010001100000010010000011000000000011001000000100100001100000010000000000000101000000000010001000000010000101011000010110110011101000000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5961538461538461,0.7222222222222222,0.644870349492672,121,0.758,0.295232967032967,147.40744829177856
6,6,10000001100010011100100100101001000001000000110010001000110000001000010010000000000010011110100100000101001101000000110000110000000000000100000100001000101000001011000001101000101010000001010101000000000110001110001000001011001101010000010000000001000000000010001000000000000110100111001100000100000010001010001000000000001000010010000010101011100000010000000010100000000110000001000010001000101101001100100000000000010011000101010000000100100000000101000000000001000010100000010000010000110000000010,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5717948717948718,0.6212121212121212,0.5956416464891041,128,0.744,0.2929604395604395,137.55334091186523
7,7,00000001110100000110001000001100000111101100000011000000000001000000000000000001000000000001100000000000001000000000100000001000111100000000111111010100000101100010000000100010100000011110001111100101000000011000001010100000001000011000010001011110000000001001000001000000000000000111000100000000000000100000001000110100010100100100000001100101010100100000000010010101001000001100101010000101011000000010001111000100010000010000001001010000001100010001000000000010000110010111001000010000000000001110,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5935897435897436,0.6919191919191919,0.6335260115606937,132,0.736,0.2776527472527473,151.42825555801392
8,8,00000110000000011010011100110110001100000000000010000010000110101010000000000011001100000110010000100000001000011000000010000010000100010100000100010010010100000001000011010101111000000001000001010000000001000000000011010000000010100100100011000010100000010000000000000000101001000001000000111000000001000010010100010010010101000101001010100110001000000010100000000010001001010110000010100011000001000000000001001000000000101100000010000000101000001000100000100000100010001001000000010000110001001100,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6115384615384616,0.5959595959595959,0.6090322580645161,125,0.75,0.2737802197802198,136.89510035514832
9,9,00110000100000000010110010001000011000001000010010010100100100000000100000000000000000001001000100101001000101100000010110010011101001000101101011000010100001000000000010001110000010010110010101000000000010010101000000001001011000101111000101110100000000010000100010000010101010001000000001000011100001000000000000000100001101010001100010101000000011000111110001000101011001000110010000101101000111011010000010100000100000100011010001000010000000100001010010001011000000001000010000101010111001101000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6166666666666667,0.7045454545454546,0.6511085180863477,150,0.7,0.2769802197802198,144.65978860855103
