,count,mean,std,min,25%,50%,75%,max
seed,30.0,14.5,8.803408430829505,0.0,7.25,14.5,21.75,29.0
precision_full,30.0,0.5371794871794874,2.2584051416334807e-16,0.5371794871794872,0.5371794871794872,0.5371794871794872,0.5371794871794872,0.5371794871794872
recall_full,30.0,0.6717171717171719,2.2584051416334807e-16,0.6717171717171717,0.6717171717171717,0.6717171717171717,0.6717171717171717,0.6717171717171717
f1_full,30.0,0.5957446808510637,1.1292025708167404e-16,0.5957446808510638,0.5957446808510638,0.5957446808510638,0.5957446808510638,0.5957446808510638
precision_gwo,30.0,0.5926068376068376,0.02369896325551431,0.5435897435897435,0.5762820512820512,0.5903846153846154,0.6073717948717948,0.6641025641025641
recall_gwo,30.0,0.6249999999999999,0.06175173230433935,0.5075757575757576,0.5959595959595959,0.6275252525252526,0.6748737373737373,0.7222222222222222
f1_gwo,30.0,0.6078440906697159,0.031403112567075654,0.543978349120433,0.5946935441523965,0.6049327012290446,0.6306557242004243,0.6741293532338308
num_features_gwo,30.0,135.56666666666666,17.198001755082363,97.0,123.25,138.0,148.75,162.0
rd_gwo,30.0,0.7288666666666667,0.034396003510164766,0.6759999999999999,0.7024999999999999,0.724,0.7535000000000001,0.806
best_fitness_final,30.0,0.28991304029304027,0.014412984214428222,0.2557274725274725,0.2796802197802198,0.2902065934065934,0.2955741758241758,0.3195582417582417
tiempo_ejecucion,30.0,142.00466113885244,9.180418815250965,124.31173419952393,136.8383651971817,139.9307543039322,149.7136246562004,161.6666066646576
