Corrida,seed,best_binary_vector,precision_full,recall_full,f1_full,precision_pso,recall_pso,f1_pso,num_features_pso,rd_pso,best_fitness_final,tiempo_ejecucion
0,0,10110000100010010100001000001001000000000000011010000001001000000001000100000110000010000001010010000100010100100001000000000000000100000000000100100100000100000100001000001000100000000000000000000100000000100000111000001100000101000011100001010000001000000100101000000000001000010101100000000000000000000000000101000000001001000010000010110000010000001000000100000001010011000010010000010111010000000101010010000001000000000000000001010101010100010011000111000000000000001001000000000000000001001000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6448717948717949,0.6742424242424242,0.6584463625154131,103,0.794,0.2606901098901099,120.54978656768799
1,1,00001000000010000000001100001001000100010100000000000000100010000000000000000000000000100010000000100000000000000000001000010001000000000110000000001010100000000010101010000000010100100100000000001001000000000101001100100110000000000010000011001000001010000000000100000110100000000000000000100000000010010000101010000010100000110000000000100010100000000000110000100010000000000010100001000000000000000001011000010000000011010100000000010000010001100010000010000000001001111011000001000000000000101100,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5641025641025641,0.5429292929292929,0.5584415584415584,94,0.812,0.2881604395604395,121.48578882217407
2,2,01100000001000000000000000001100010000000000100000000010100001001000001000100000000010000000110011000000010111000100100000000000101100001001001000100001100000010000000000100000001010100010001111001000011000000010010100010010000001000100000001000010000000000000000000000100000100110010000000010010000010000000011000000000011101000100010000000100001000010000100000000000011010000100000000010110100000010000000010000000000000000100000000001010000110000001101000000000000001001001000100000000100000000010,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5807692307692308,0.6717171717171717,0.619324796274738,99,0.802,0.2871604395604395,122.17147064208984
3,3,00000100000010000000000000010010100000010100000000101000000000000000100000000000000000100000100000000000000000000000000100001001100010010000100100001000000000000000010100100001000100000000000000000100010000001000000001000110000000010000000001110010001000001000001010010001001010000010000000010000100000000011000010000001000000000000101000000000000000000010000000000100110000000010101000100000010001100001000000000000000000000010000000001000101000010100010100000000000001001001000000000000000010100101,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5782051282051283,0.5656565656565656,0.5765765765765766,81,0.838,0.3141582417582417,130.62628698349
4,4,00000000000000000001001100000000001000000001101010100010010000011100000001000000000000101000000000000000000010000000000000000001100000100010100010000000001000000000100100000001010010000000100000010010000000000110000000000010000000001001000001000000000100000110000000010000000001000000000100000000100010110001010011000100000000010000000000000000110001001110000000000010001000000010100000000011000111000000010000000000100101010000100010000000000000000010000010000100010010001001010000000000000110001000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5743589743589743,0.601010101010101,0.5891089108910891,88,0.8240000000000001,0.27787032967032965,117.06132698059082
5,5,10000000000000001000000011000000001000000010001100010100000010000000000101010100000000000000000100000000000000000000000000000000000010000000000000100100000001000001000000000000001000000000100010010001000001000000000000010010000100010000000001000000000100000000000010100000000010000100000000001000001000000000100100010010010010011010000000000000000101000000001010000001000000010010000100000100000000100000000000000000100000000000001000100000000000100000010000100000000000000001000000100010000000001010,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6089743589743589,0.6035353535353535,0.6104725415070242,69,0.862,0.287632967032967,113.14158725738525
6,6,11000000010010000100001000000001000001000010000000001010000000000000010001000000000011000000100000000100010000101000000000000000001000001000000000011000001000100000000000001010010000000101000000001000000000000000001001000010000000010000000001000000000000100000000000001011000000001000100000000100000000000000000001000000001000000000010000000000000000000110000001000000000000000110000000010000000100000000100000000101000010010000000000100000100000000011000000000000010000100010000000000000000000000000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.558974358974359,0.553030303030303,0.5601023017902813,66,0.868,0.31790329670329676,109.07545614242554
7,7,00000100010000000000000000001000000000000000100000001000000000001000001000010000110100000000100000000010001000000000000000000000100000000000100010000100010001000001000100000010010000000000000010000000010001010110000101100000000000000000010001100000000000001001000001010010000010100000100000100100111000000001001000001000000001000000100000000100000010001000001001000010000000001010010000010000110000110000001010000000000010000000000000000000001000000001100100010000000000001001000000000000100000001100,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6,0.6616161616161617,0.6267942583732058,81,0.838,0.27452527472527477,117.83853888511658
8,8,00000100001000000100000000001100000000100000000010010000001001100000001001000000110000001101010100100000000000000011000001001001000000001010001100101000100000000010000000100100110000000001000000000010000000000000000000000001000110000000001011000000010000000000000100010010100010000100000000000100000000000100100000000110000100010000000000100001000000000001010000100001010000000010000100000100001000000000000000000000000000000000100110000000001000001000110000000001100000000000000000000101000000000010,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5948717948717949,0.5732323232323232,0.5896103896103896,83,0.834,0.2648351648351649,119.46799755096436
9,9,00000000000000000000000000000000111000100010000000000000000110000000001001000000100000100000001100000000000000000000000000000000100010100000100110000000010000000011000010000000000000000000000100000000000000000100000000000000000000010111000001010000001000000000000000100010000010001000010000000000000001000000101000000001000000000000000000101001000100000001100010100000000000000110010000011000101000010001000110000010001000100000000000100111000001100000000000000100000000011000011001000000000001011000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5897435897435898,0.6338383838383839,0.610705596107056,78,0.844,0.28668791208791206,121.34331464767456
