,count,mean,std,min,25%,50%,75%,max
seed,30.0,14.5,8.803408430829505,0.0,7.25,14.5,21.75,29.0
precision_full,30.0,0.5371794871794874,2.2584051416334807e-16,0.5371794871794872,0.5371794871794872,0.5371794871794872,0.5371794871794872,0.5371794871794872
recall_full,30.0,0.6717171717171719,2.2584051416334807e-16,0.6717171717171717,0.6717171717171717,0.6717171717171717,0.6717171717171717,0.6717171717171717
f1_full,30.0,0.5957446808510637,1.1292025708167404e-16,0.5957446808510638,0.5957446808510638,0.5957446808510638,0.5957446808510638,0.5957446808510638
precision_pso,30.0,0.5864529914529916,0.025250526302841907,0.5435897435897435,0.5663461538461538,0.5833333333333334,0.5996794871794872,0.6448717948717949
recall_pso,30.0,0.6143939393939394,0.048565826591398215,0.5227272727272727,0.5732323232323232,0.6275252525252526,0.6540404040404041,0.6868686868686869
f1_pso,30.0,0.6007715719950651,0.02659799394363518,0.5584415584415584,0.5825246665943836,0.604734219269103,0.6195942610370928,0.6584463625154131
num_features_pso,30.0,86.3,17.358591234750943,54.0,73.75,87.5,96.75,136.0
rd_pso,30.0,0.8274,0.03471718246950188,0.728,0.8065,0.8250000000000001,0.8525,0.892
best_fitness_final,30.0,0.2916255677655678,0.01747675941403372,0.2606901098901099,0.28016098901098896,0.28789670329670325,0.3039,0.3234483516483517
tiempo_ejecucion,30.0,123.14323495229085,6.748568306285009,109.07545614242554,119.32488989830017,121.78597044944763,127.38697153329849,144.85947012901306
