,count,mean,std,min,25%,50%,75%,max
seed,30.0,14.5,8.803408430829505,0.0,7.25,14.5,21.75,29.0
precision_full,30.0,0.95906432748538,1.1292025708167404e-16,0.9590643274853801,0.9590643274853801,0.9590643274853801,0.9590643274853801,0.9590643274853801
recall_full,30.0,0.972222222222222,2.2584051416334807e-16,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222
f1_full,30.0,0.9677419354838712,2.2584051416334807e-16,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
precision_doa,30.0,0.9588693957115009,0.013605315225267037,0.9181286549707602,0.9532163742690059,0.9590643274853801,0.9707602339181286,0.9766081871345029
recall_doa,30.0,0.971604938271605,0.012382872878877266,0.9259259259259259,0.9652777777777777,0.9722222222222222,0.9814814814814815,0.9907407407407407
f1_doa,30.0,0.9675818170118261,0.010732762659476989,0.9345794392523364,0.9630479102956166,0.967741935483871,0.9769049405208445,0.981651376146789
num_features_doa,30.0,10.633333333333333,3.4289169229317613,5.0,8.0,10.0,12.0,20.0
rd_doa,30.0,0.6455555555555555,0.11429723076439204,0.33333333333333337,0.6,0.6666666666666667,0.7333333333333334,0.8333333333333334
best_fitness_final,30.0,0.055305555555555566,0.006734508736222933,0.04458333333333329,0.04916666666666668,0.055833333333333346,0.05916666666666667,0.0670833333333333
tiempo_ejecucion,30.0,2.8456820964813234,0.16429511985112427,2.37864089012146,2.8456169962882996,2.910058856010437,2.931606888771057,3.031386613845825
