,count,mean,std,min,25%,50%,75%,max
seed,30.0,14.5,8.803408430829505,0.0,7.25,14.5,21.75,29.0
precision_full,30.0,0.95906432748538,1.1292025708167404e-16,0.9590643274853801,0.9590643274853801,0.9590643274853801,0.9590643274853801,0.9590643274853801
recall_full,30.0,0.972222222222222,2.2584051416334807e-16,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222
f1_full,30.0,0.9677419354838712,2.2584051416334807e-16,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
precision_gwo,30.0,0.9586744639376216,0.010960262059785293,0.9298245614035088,0.9532163742690059,0.9590643274853801,0.9649122807017544,0.9766081871345029
recall_gwo,30.0,0.9700617283950616,0.011833512044864712,0.9444444444444444,0.9629629629629629,0.9722222222222222,0.9814814814814815,0.9907407407407407
f1_gwo,30.0,0.9673807518433465,0.008594450189183787,0.9454545454545454,0.9630479102956166,0.9678892325821181,0.9722222222222222,0.981651376146789
num_features_gwo,30.0,9.266666666666667,2.1161665623339365,6.0,8.0,9.0,11.0,13.0
rd_gwo,30.0,0.6911111111111112,0.07053888541113122,0.5666666666666667,0.6333333333333333,0.7,0.7333333333333334,0.8
best_fitness_final,30.0,0.04833333333333334,0.005121839273922276,0.03916666666666668,0.0448958333333333,0.04916666666666668,0.04916666666666668,0.060416666666666646
tiempo_ejecucion,30.0,2.7533960580825805,0.1460087535622149,2.3139731884002686,2.687496840953827,2.751887798309326,2.8318081498146057,3.0377697944641113
