,count,mean,std,min,25%,50%,75%,max
seed,30.0,14.5,8.803408430829505,0.0,7.25,14.5,21.75,29.0
precision_full,30.0,0.95906432748538,1.1292025708167404e-16,0.9590643274853801,0.9590643274853801,0.9590643274853801,0.9590643274853801,0.9590643274853801
recall_full,30.0,0.972222222222222,2.2584051416334807e-16,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222
f1_full,30.0,0.9677419354838712,2.2584051416334807e-16,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
precision_pso,30.0,0.9563352826510718,0.010498645414857472,0.9239766081871345,0.9532163742690059,0.9590643274853801,0.9590643274853801,0.9766081871345029
recall_pso,30.0,0.967901234567901,0.012092986517450801,0.9351851851851852,0.9629629629629629,0.9722222222222222,0.9722222222222222,0.9907407407407407
f1_pso,30.0,0.9655228528489318,0.008284498649333142,0.9395348837209302,0.9627033575631706,0.9674418604651163,0.9680365296803652,0.9814814814814815
num_features_pso,30.0,10.5,2.345207879911715,7.0,9.0,10.0,12.0,15.0
rd_pso,30.0,0.65,0.07817359599705716,0.5,0.6,0.6666666666666667,0.7,0.7666666666666666
best_fitness_final,30.0,0.05456944444444444,0.009382569315513126,0.04124999999999995,0.04666666666666668,0.05250000000000001,0.06291666666666665,0.07374999999999998
tiempo_ejecucion,30.0,2.6513964732488,0.15080281138126214,2.19157338142395,2.668156087398529,2.71875,2.7309669852256775,2.761644124984741
